datetime|email|lat|long|name
2016-02-08T21:54:47|bwayne@jleague.org|46.44163|11.69019|
2016-02-08T21:57:25|bwayne@jleague.org|48.34821|11.59615|
2016-02-07T22:08:58|bwayne@jleague.org|45.2824|12.30918|
2016-02-07T22:09:57|bwayne@jleague.org|48.4548|8.83|
2016-02-07T22:16:34|bwayne@jleague.org|46.26285|9.76585|
2016-02-02T22:59:24|bwayne@jleague.org|47.67993|7.54021|
2016-01-19T23:39:13|bwayne@jleague.org|47.25222|10.61972|
2016-01-17T23:46:23|bwayne@jleague.org|49.02753|10.20437|
2016-01-17T23:49:17|bwayne@jleague.org|48.5094|10.14566|
2016-01-14T00:12:55|bwayne@jleague.org|49.61315|10.07801|
2016-01-14T00:27:07|bwayne@jleague.org|46.68919|9.59857|
2016-01-11T00:35:13|bwayne@jleague.org|49.99132|11.58326|
2015-12-19T02:05:24|bwayne@jleague.org|49.12666|12.49353|
2015-12-19T02:11:13|bwayne@jleague.org|48.7985|10.91185|
2015-12-17T02:19:03|bwayne@jleague.org|45.77623|10.99786|
2015-12-09T02:50:41|bwayne@jleague.org|46.75728|10.56347|
2015-12-06T03:01:10|bwayne@jleague.org|47.50756|10.66564|
2015-11-24T03:51:11|bwayne@jleague.org|45.59|7.61797|
2015-11-24T03:52:25|bwayne@jleague.org|45.70983|10.79113|
2015-11-23T04:03:09|bwayne@jleague.org|47.68595|8.58422|
2015-11-16T04:48:19|bwayne@jleague.org|48.50307|11.74732|
2015-11-16T04:52:42|bwayne@jleague.org|48.08449|12.24798|
2015-11-10T05:11:11|bwayne@jleague.org|49.3555|9.3022|
2015-11-09T05:19:27|bwayne@jleague.org|45.52382|8.67065|
2015-11-07T05:29:04|bwayne@jleague.org|45.20027|10.99283|
2015-10-30T06:06:34|bwayne@jleague.org|48.35713|7.7334|
2015-10-28T06:21:47|bwayne@jleague.org|46.8673|8.12312|
2015-10-28T06:23:32|bwayne@jleague.org|45.13384|7.56942|
2015-10-24T06:47:16|bwayne@jleague.org|47.17187|10.13642|
2015-10-22T06:56:27|bwayne@jleague.org|49.49271|11.96428|
2015-10-21T06:57:35|bwayne@jleague.org|49.37609|11.89264|
2015-10-12T07:36:03|bwayne@jleague.org|46.33879|8.49724|
2015-10-01T08:22:12|bwayne@jleague.org|47.27205|11.44186|
2015-10-01T08:22:47|bwayne@jleague.org|48.81177|8.60385|
2015-09-26T08:35:04|bwayne@jleague.org|46.26942|9.2022|
2015-09-23T08:50:36|bwayne@jleague.org|47.42318|12.26857|
2015-09-19T09:02:44|bwayne@jleague.org|47.69392|7.78057|
2015-09-14T09:19:01|bwayne@jleague.org|46.69729|10.74014|
2015-09-13T09:24:54|bwayne@jleague.org|48.7257|9.30968|
2015-09-10T09:28:26|bwayne@jleague.org|48.80249|8.81755|
2015-09-06T09:42:53|bwayne@jleague.org|46.58558|9.55894|
2015-09-02T09:58:53|bwayne@jleague.org|46.94954|10.37631|
2015-09-02T10:02:09|bwayne@jleague.org|48.02541|8.19064|
2015-08-31T11:07:27|bwayne@jleague.org|46.86097|10.34444|
2015-08-31T11:08:54|bwayne@jleague.org|45.97114|7.55387|
2015-08-31T11:09:15|bwayne@jleague.org|48.4039|11.90902|
