barry allen!ballen@jleague.org!155.130.121.215!75.122.133.241!2016-02-08T21:44:41!49.8316!8.01485!764272
arthur curry!acurry@jleague.org!106.152.115.161!106.152.114.248!2016-02-08T21:45:37!45.10327!11.68293!249206
john jones!jjones@jleague.org!60.15.193.250!155.130.121.215!2016-02-08T21:46:53!47.11673!10.35874!856820
wally west!wwest@jleague.org!190.214.22.201!190.214.22.116!2016-02-07T21:47:12!46.75616!11.47886!593774
arthur curry!acurry@jleague.org!60.15.193.74!60.15.193.95!2016-02-07T21:48:04!48.59134!12.30683!171910
ray palmer!rpalmer@jleague.org!106.152.114.248!102.86.56.203!2016-02-07T21:48:54!45.23082!10.90642!300389
victor stone!vstone@jleague.org!60.15.193.95!155.130.121.215!2016-02-07T21:49:02!48.20129!10.54183!916813
kyle rayner!krayner@jleague.org!220.211.18.48!106.152.115.49!2016-02-07T21:49:26!48.8573!9.23887!421284
clark kent!ckent@jleague.org!106.152.114.248!190.214.22.201!2016-02-06T21:50:26!48.0599!9.97774!458476
barbara gordon!bgordon@jleague.org!60.15.193.74!106.152.114.248!2016-02-06T21:50:50!46.43865!8.50877!752245
bruce wayne!bwayne@jleague.org!220.211.18.31!190.214.22.94!2016-02-05T21:52:27!49.73236!11.51376!390646
wally west!wwest@jleague.org!190.214.22.116!190.214.22.116!2016-02-05T21:53:19!47.52949!10.77212!277001
ray palmer!rpalmer@jleague.org!155.130.121.6!102.86.56.213!2016-02-05T21:54:23!47.48082!9.5745!4326
wally west!wwest@jleague.org!190.214.22.201!60.15.193.74!2016-02-05T21:54:56!46.87952!7.83721!825190
barry allen!ballen@jleague.org!106.152.114.9!102.86.56.243!2016-02-05T21:54:59!48.03074!10.41633!87758
diana prince!dprince@jleague.org!102.86.56.199!60.15.193.74!2016-02-05T21:56:07!47.64781!11.90056!622470
arthur curry!acurry@jleague.org!75.122.132.124!102.86.56.243!2016-02-05T21:57:39!47.30706!8.47864!212859
john jones!jjones@jleague.org!220.211.18.31!155.130.121.215!2016-02-05T21:58:20!47.89841!11.66265!530368
john jones!jjones@jleague.org!190.214.22.94!190.214.22.201!2016-02-05T21:59:05!46.21873!9.56542!87829
barbara gordon!bgordon@jleague.org!60.15.193.249!106.152.115.49!2016-02-04T21:59:41!49.552!11.59746!567714
diana prince!dprince@jleague.org!190.214.22.116!155.130.121.215!2016-02-04T22:01:20!48.60361!9.28674!126690
diana prince!dprince@jleague.org!75.122.132.124!155.130.121.22!2016-02-03T22:02:28!45.98007!9.14988!198965
wally west!wwest@jleague.org!102.86.56.199!106.152.114.9!2016-02-03T22:03:50!46.15439!8.44537!70718
diana prince!dprince@jleague.org!155.130.120.114!106.152.114.9!2016-02-03T22:03:55!49.89778!8.25535!174355
john jones!jjones@jleague.org!155.130.120.114!102.86.56.243!2016-02-02T22:05:28!47.80911!11.51937!680156
john jones!jjones@jleague.org!155.130.121.6!60.15.193.249!2016-02-02T22:06:52!48.37042!11.56378!286031
hal jordan!hjordan@jleague.org!60.15.193.249!106.152.114.248!2016-02-02T22:07:12!48.36901!8.26619!241186
hal jordan!hjordan@jleague.org!60.15.193.250!220.211.18.12!2016-02-02T22:08:08!49.69216!8.72742!61673
kara zor-el!kzor-el@jleague.org!75.122.133.75!60.15.193.249!2016-02-01T22:09:44!46.68394!10.58863!182642
john constantine!jconstantine@jleague.org!155.130.120.114!106.152.115.130!2016-02-01T22:10:03!48.83732!12.12413!973757
kara zor-el!kzor-el@jleague.org!220.211.18.12!169.28.228.153!2016-02-01T22:10:11!49.79903!9.05303!631114
john jones!jjones@jleague.org!190.214.22.116!155.130.121.215!2016-01-31T22:11:11!46.75312!12.34015!459160
kyle rayner!krayner@jleague.org!190.214.22.94!220.211.18.12!2016-01-31T22:11:37!49.18048!10.75595!600219
arthur curry!acurry@jleague.org!190.214.22.94!60.15.193.95!2016-01-31T22:12:40!45.46586!10.67303!350298
hal jordan!hjordan@jleague.org!102.86.56.213!102.86.56.213!2016-01-31T22:13:56!45.45445!11.0413!625106
john constantine!jconstantine@jleague.org!169.28.228.153!60.15.193.250!2016-01-31T22:14:51!46.01856!10.41036!57484
bruce wayne!bwayne@jleague.org!102.86.56.243!106.152.115.49!2016-01-31T22:15:03!45.67383!9.921!768775
hal jordan!hjordan@jleague.org!102.86.56.203!102.86.56.213!2016-01-31T22:15:49!46.56542!11.1041!481866
victor stone!vstone@jleague.org!60.15.193.95!75.122.133.10!2016-01-31T22:16:48!47.16939!9.28906!730967
clark kent!ckent@jleague.org!60.15.193.95!60.15.193.95!2016-01-31T22:17:07!49.41465!11.80737!498834
wally west!wwest@jleague.org!220.211.18.12!190.214.22.201!2016-01-30T22:17:21!49.961!9.55434!488569
selina kyle!skyle@jleague.org!190.214.22.201!75.122.133.10!2016-01-30T22:17:41!45.08474!7.66165!637732
john jones!jjones@jleague.org!190.214.22.94!220.211.18.48!2016-01-30T22:19:17!48.80175!9.28654!200308
kara zor-el!kzor-el@jleague.org!155.130.120.114!60.15.193.249!2016-01-30T22:20:05!45.24816!8.01601!869409
wally west!wwest@jleague.org!60.15.193.74!155.130.121.22!2016-01-30T22:21:35!48.47448!10.45988!7465
bruce wayne!bwayne@jleague.org!102.86.56.213!220.211.18.31!2016-01-30T22:22:58!49.42008!11.76816!146059
kara zor-el!kzor-el@jleague.org!102.86.56.213!220.211.18.31!2016-01-30T22:23:55!49.49383!11.89127!379981
kyle rayner!krayner@jleague.org!155.130.121.215!75.122.132.124!2016-01-30T22:24:39!45.8415!12.33442!842164
hal jordan!hjordan@jleague.org!190.214.22.201!106.152.114.248!2016-01-29T22:25:48!45.96227!9.49241!402458
selina kyle!skyle@jleague.org!75.122.133.75!190.214.22.116!2016-01-29T22:26:36!49.16956!10.30801!508773
dick grayson!dgrayson@jleague.org!106.152.115.130!220.211.18.31!2016-01-29T22:26:49!48.17151!10.57354!426194
victor stone!vstone@jleague.org!102.86.56.199!169.28.228.153!2016-01-29T22:27:34!45.89511!7.61965!473634
kara zor-el!kzor-el@jleague.org!155.130.121.215!102.86.56.199!2016-01-29T22:28:33!49.09599!12.31229!130381
selina kyle!skyle@jleague.org!60.15.193.74!106.152.115.161!2016-01-29T22:29:51!45.87656!8.68014!921805
ray palmer!rpalmer@jleague.org!220.211.18.12!106.152.115.130!2016-01-29T22:30:00!46.08247!12.39488!337897
dick grayson!dgrayson@jleague.org!102.86.56.199!60.15.193.250!2016-01-29T22:30:12!48.01602!11.12864!200218
kyle rayner!krayner@jleague.org!220.211.18.48!106.152.115.49!2016-01-28T22:31:34!49.69685!8.96797!4088
arthur curry!acurry@jleague.org!75.122.132.124!220.211.18.12!2016-01-28T22:32:04!48.24227!9.27748!772258
barry allen!ballen@jleague.org!190.214.22.59!60.15.193.249!2016-01-28T22:33:38!46.08559!9.52741!342518
bruce wayne!bwayne@jleague.org!106.152.114.248!106.152.114.9!2016-01-28T22:34:28!45.13783!7.78578!217491
clark kent!ckent@jleague.org!190.214.22.201!155.130.121.6!2016-01-28T22:35:05!48.50339!10.29245!737132
dinah lance!dlance@jleague.org!75.122.133.241!190.214.22.94!2016-01-28T22:36:44!47.71897!10.77419!901550
billy batson!bbatson@jleague.org!102.86.56.213!190.214.22.59!2016-01-28T22:36:47!45.78046!9.77843!18255
clark kent!ckent@jleague.org!155.130.121.215!102.86.56.199!2016-01-28T22:37:46!47.13868!11.45858!63192
wally west!wwest@jleague.org!75.122.133.10!155.130.120.114!2016-01-28T22:38:05!47.17551!9.02421!478151
diana prince!dprince@jleague.org!190.214.22.94!75.122.133.10!2016-01-28T22:38:28!45.69036!12.28035!105891
barry allen!ballen@jleague.org!102.86.56.199!75.122.132.124!2016-01-28T22:39:07!47.03203!10.25295!533954
victor stone!vstone@jleague.org!60.15.193.74!106.152.114.248!2016-01-28T22:40:07!48.0179!12.29183!748739
hal jordan!hjordan@jleague.org!102.86.56.243!60.15.193.74!2016-01-28T22:41:44!48.79416!8.90141!642984
ray palmer!rpalmer@jleague.org!102.86.56.203!155.130.121.215!2016-01-28T22:41:58!45.02786!7.56279!52547
arthur curry!acurry@jleague.org!106.152.114.248!155.130.120.114!2016-01-28T22:42:02!46.30671!8.64207!484761
wally west!wwest@jleague.org!220.211.18.48!106.152.115.161!2016-01-28T22:42:09!45.59405!8.64622!576388
bruce wayne!bwayne@jleague.org!60.15.193.250!106.152.115.161!2016-01-28T22:42:31!48.40322!11.3503!15136
clark kent!ckent@jleague.org!60.15.193.250!102.86.56.203!2016-01-27T22:43:20!45.30599!9.26409!422509
wally west!wwest@jleague.org!106.152.115.130!60.15.193.249!2016-01-27T22:43:58!48.99733!9.97975!405845
john jones!jjones@jleague.org!60.15.193.249!106.152.114.248!2016-01-26T22:44:02!47.75048!9.49927!969927
kara zor-el!kzor-el@jleague.org!190.214.22.116!106.152.114.9!2016-01-26T22:45:00!47.74205!11.59326!467785
hal jordan!hjordan@jleague.org!75.122.133.241!60.15.193.95!2016-01-26T22:45:28!45.21065!11.75257!984804
arthur curry!acurry@jleague.org!60.15.193.95!190.214.22.94!2016-01-25T22:45:53!48.9253!12.16724!266840
kara zor-el!kzor-el@jleague.org!60.15.193.95!75.122.133.10!2016-01-25T22:47:32!45.11217!7.53774!96610
